seconds,strip,kind,tolerance_s,note
0.32,000008.jpg,,0.25,
0.72,000018.jpg,,0.25,
0.88,000022.jpg,,0.25,
1.48,000037.jpg,,0.25,
2.08,000052.jpg,,0.25,
2.60,000065.jpg,,0.25,
3.92,000098.jpg,,0.25,
4.92,000123.jpg,,0.25,
5.36,000134.jpg,,0.25,
5.76,000144.jpg,,0.25,
6.48,000162.jpg,,0.25,
6.64,000166.jpg,,0.25,
6.80,000170.jpg,,0.25,
7.44,000186.jpg,,0.25,
7.60,000190.jpg,,0.25,
7.80,000195.jpg,,0.25,
9.12,000228.jpg,,0.25,
9.64,000241.jpg,,0.25,
10.08,000252.jpg,,0.25,
10.72,000268.jpg,,0.25,
11.28,000282.jpg,,0.25,
12.24,000306.jpg,,0.25,
12.56,000314.jpg,,0.25,
12.92,000323.jpg,,0.25,
14.00,000350.jpg,,0.25,
14.56,000364.jpg,,0.25,
25.04,000626.jpg,,0.25,
25.64,000641.jpg,,0.25,
26.44,000661.jpg,,0.25,
27.12,000678.jpg,,0.25,
27.40,000685.jpg,,0.25,
27.72,000693.jpg,,0.25,
28.04,000701.jpg,,0.25,
28.32,000708.jpg,,0.25,
28.52,000713.jpg,,0.25,
28.76,000719.jpg,,0.25,
29.12,000728.jpg,,0.25,
29.64,000741.jpg,,0.25,
30.16,000754.jpg,,0.25,
30.64,000766.jpg,,0.25,
31.96,000799.jpg,,0.25,
33.24,000831.jpg,,0.25,
39.28,000982.jpg,,0.25,
39.84,000996.jpg,,0.25,
40.76,001019.jpg,,0.25,
41.12,001028.jpg,,0.25,
41.64,001041.jpg,,0.25,
42.44,001061.jpg,,0.25,
42.96,001074.jpg,,0.25,
43.12,001078.jpg,,0.25,
43.56,001089.jpg,,0.25,
43.96,001099.jpg,,0.25,
44.44,001111.jpg,,0.25,
44.64,001116.jpg,,0.25,
44.88,001122.jpg,,0.25,
45.16,001129.jpg,,0.25,
45.36,001134.jpg,,0.25,
45.60,001140.jpg,,0.25,
45.84,001146.jpg,,0.25,
46.12,001153.jpg,,0.25,
46.36,001159.jpg,,0.25,
46.60,001165.jpg,,0.25,
46.80,001170.jpg,,0.25,
46.96,001174.jpg,,0.25,
47.40,001185.jpg,,0.25,
47.80,001195.jpg,,0.25,
49.24,001231.jpg,,0.25,
49.88,001247.jpg,,0.25,
50.56,001264.jpg,,0.25,
51.20,001280.jpg,,0.25,
51.76,001294.jpg,,0.25,
52.32,001308.jpg,,0.25,
52.84,001321.jpg,,0.25,
53.48,001337.jpg,,0.25,
54.92,001373.jpg,,0.25,
55.64,001391.jpg,,0.25,
56.00,001400.jpg,,0.25,
56.32,001408.jpg,,0.25,
56.76,001419.jpg,,0.25,
58.00,001450.jpg,,0.25,
59.00,001475.jpg,,0.25,
85.68,002142.jpg,,0.25,
86.08,002152.jpg,,0.25,
86.36,002159.jpg,,0.25,
86.56,002164.jpg,,0.25,
87.40,002185.jpg,,0.25,
87.92,002198.jpg,,0.25,
88.72,002218.jpg,,0.25,
89.32,002233.jpg,,0.25,
93.92,002348.jpg,,0.25,
95.44,002386.jpg,,0.25,
111.96,002799.jpg,,0.25,
112.56,002814.jpg,,0.25,
114.96,002874.jpg,,0.25,
115.40,002885.jpg,,0.25,
115.76,002894.jpg,,0.25,
116.08,002902.jpg,,0.25,
120.08,003002.jpg,,0.25,
120.32,003008.jpg,,0.25,
120.52,003013.jpg,,0.25,
120.80,003020.jpg,,0.25,
121.00,003025.jpg,,0.25,
121.44,003036.jpg,,0.25,
122.60,003065.jpg,,0.25,
123.24,003081.jpg,,0.25,
123.72,003093.jpg,,0.25,
123.92,003098.jpg,,0.25,
124.08,003102.jpg,,0.25,
124.52,003113.jpg,,0.25,
125.08,003127.jpg,,0.25,
125.60,003140.jpg,,0.25,
126.16,003154.jpg,,0.25,
126.48,003162.jpg,,0.25,
126.80,003170.jpg,,0.25,
128.24,003206.jpg,,0.25,
128.96,003224.jpg,,0.25,
129.44,003236.jpg,,0.25,
130.00,003250.jpg,,0.25,
130.96,003274.jpg,,0.25,
131.16,003279.jpg,,0.25,
131.36,003284.jpg,,0.25,
132.04,003301.jpg,,0.25,
132.72,003318.jpg,,0.25,
133.36,003334.jpg,,0.25,
133.64,003341.jpg,,0.25,
134.40,003360.jpg,,0.25,
134.84,003371.jpg,,0.25,
135.80,003395.jpg,,0.25,
135.92,003398.jpg,,0.25,
136.40,003410.jpg,,0.25,
136.96,003424.jpg,,0.25,
137.32,003433.jpg,,0.25,
137.96,003449.jpg,,0.25,
138.40,003460.jpg,,0.25,
138.96,003474.jpg,,0.25,
139.44,003486.jpg,,0.25,
139.88,003497.jpg,,0.25,
140.64,003516.jpg,,0.25,
141.20,003530.jpg,,0.25,
143.72,003593.jpg,,0.25,
154.52,003863.jpg,,0.25,
155.04,003876.jpg,,0.25,
155.76,003894.jpg,,0.25,
165.92,004148.jpg,,0.25,
166.84,004171.jpg,,0.25,
179.16,004479.jpg,,0.25,
179.56,004489.jpg,,0.25,
