seconds,frame,proposed_by
0.32,8,trajectory_scan
0.72,18,pipeline:unknown
0.88,22,trajectory_scan
1.48,37,pipeline:unknown trajectory_scan
2.08,52,pipeline:unknown trajectory_scan
2.60,65,trajectory_scan
3.92,98,trajectory_scan
4.92,123,pipeline:contact trajectory_scan
5.36,134,pipeline:unknown
5.76,144,pipeline:unknown
5.80,145,trajectory_scan
6.48,162,trajectory_scan
6.64,166,pipeline:contact
6.80,170,trajectory_scan
7.44,186,pipeline:bounce
7.60,190,trajectory_scan
7.80,195,pipeline:bounce
9.12,228,pipeline:unknown
9.64,241,pipeline:bounce trajectory_scan
10.08,252,pipeline:bounce trajectory_scan
10.72,268,pipeline:bounce
10.76,269,trajectory_scan
11.28,282,pipeline:contact
12.24,306,pipeline:bounce trajectory_scan
12.56,314,trajectory_scan
12.92,323,pipeline:bounce
14.00,350,pipeline:unknown
14.56,364,pipeline:unknown
25.04,626,trajectory_scan
25.64,641,pipeline:unknown
26.36,659,trajectory_scan
26.44,661,pipeline:unknown
27.12,678,pipeline:unknown
27.40,685,trajectory_scan
27.72,693,pipeline:unknown
27.80,695,trajectory_scan
28.04,701,trajectory_scan
28.32,708,trajectory_scan
28.52,713,pipeline:contact
28.76,719,trajectory_scan
29.12,728,pipeline:unknown
29.20,730,trajectory_scan
29.64,741,pipeline:unknown trajectory_scan
30.16,754,pipeline:unknown trajectory_scan
30.64,766,trajectory_scan
31.96,799,trajectory_scan
33.24,831,trajectory_scan
39.16,979,trajectory_scan
39.28,982,pipeline:bounce
39.84,996,pipeline:unknown
39.96,999,trajectory_scan
40.76,1019,pipeline:bounce
41.00,1025,trajectory_scan
41.12,1028,pipeline:unknown
41.64,1041,pipeline:unknown trajectory_scan
42.44,1061,pipeline:unknown trajectory_scan
42.96,1074,pipeline:unknown
43.12,1078,trajectory_scan
43.56,1089,pipeline:unknown trajectory_scan
43.96,1099,pipeline:unknown trajectory_scan
44.32,1108,trajectory_scan
44.44,1111,pipeline:unknown
44.64,1116,trajectory_scan
44.88,1122,trajectory_scan
45.16,1129,pipeline:unknown
45.36,1134,pipeline:unknown trajectory_scan
45.60,1140,pipeline:unknown
45.84,1146,trajectory_scan
46.12,1153,pipeline:unknown
46.36,1159,trajectory_scan
46.60,1165,pipeline:unknown
46.80,1170,trajectory_scan
46.96,1174,pipeline:unknown
