seconds,strip,kind,tolerance_s,note
0.20,000005.jpg,,0.25,
0.48,000012.jpg,,0.25,
0.56,000014.jpg,,0.25,
2.56,000064.jpg,,0.25,
3.16,000079.jpg,,0.25,
5.28,000132.jpg,,0.25,
5.92,000148.jpg,,0.25,
7.52,000188.jpg,,0.25,
8.16,000204.jpg,,0.25,
8.48,000212.jpg,,0.25,
9.92,000248.jpg,,0.25,
10.04,000251.jpg,,0.25,
11.00,000275.jpg,,0.25,
11.48,000287.jpg,,0.25,
11.88,000297.jpg,,0.25,
12.04,000301.jpg,,0.25,
12.28,000307.jpg,,0.25,
12.64,000316.jpg,,0.25,
13.12,000328.jpg,,0.25,
13.20,000330.jpg,,0.25,
13.52,000338.jpg,,0.25,
13.76,000344.jpg,,0.25,
13.84,000346.jpg,,0.25,
14.40,000360.jpg,,0.25,
14.48,000362.jpg,,0.25,
16.44,000411.jpg,,0.25,
16.80,000420.jpg,,0.25,
17.00,000425.jpg,,0.25,
17.20,000430.jpg,,0.25,
17.60,000440.jpg,,0.25,
18.60,000465.jpg,,0.25,
19.12,000478.jpg,,0.25,
19.36,000484.jpg,,0.25,
19.40,000485.jpg,,0.25,
19.88,000497.jpg,,0.25,
20.00,000500.jpg,,0.25,
20.40,000510.jpg,,0.25,
21.28,000532.jpg,,0.25,
43.48,001087.jpg,,0.25,
43.92,001098.jpg,,0.25,
43.96,001099.jpg,,0.25,
45.00,001125.jpg,,0.25,
45.72,001143.jpg,,0.25,
46.20,001155.jpg,,0.25,
46.40,001160.jpg,,0.25,
46.56,001164.jpg,,0.25,
47.16,001179.jpg,,0.25,
48.24,001206.jpg,,0.25,
48.76,001219.jpg,,0.25,
49.20,001230.jpg,,0.25,
49.32,001233.jpg,,0.25,
49.64,001241.jpg,,0.25,
50.36,001259.jpg,,0.25,
50.76,001269.jpg,,0.25,
51.20,001280.jpg,,0.25,
51.64,001291.jpg,,0.25,
53.08,001327.jpg,,0.25,
53.28,001332.jpg,,0.25,
53.32,001333.jpg,,0.25,
54.44,001361.jpg,,0.25,
54.84,001371.jpg,,0.25,
77.28,001932.jpg,,0.25,
77.64,001941.jpg,,0.25,
78.32,001958.jpg,,0.25,
78.36,001959.jpg,,0.25,
79.88,001997.jpg,,0.25,
80.20,002005.jpg,,0.25,
80.64,002016.jpg,,0.25,
81.00,002025.jpg,,0.25,
81.44,002036.jpg,,0.25,
81.88,002047.jpg,,0.25,
83.12,002078.jpg,,0.25,
83.76,002094.jpg,,0.25,
84.24,002106.jpg,,0.25,
84.64,002116.jpg,,0.25,
84.92,002123.jpg,,0.25,
86.16,002154.jpg,,0.25,
86.28,002157.jpg,,0.25,
110.00,002750.jpg,,0.25,
110.28,002757.jpg,,0.25,
110.32,002758.jpg,,0.25,
110.72,002768.jpg,,0.25,
111.60,002790.jpg,,0.25,
112.48,002812.jpg,,0.25,
113.24,002831.jpg,,0.25,
113.52,002838.jpg,,0.25,
113.88,002847.jpg,,0.25,
114.20,002855.jpg,,0.25,
116.16,002904.jpg,,0.25,
116.40,002910.jpg,,0.25,
116.56,002914.jpg,,0.25,
117.04,002926.jpg,,0.25,
117.48,002937.jpg,,0.25,
118.00,002950.jpg,,0.25,
118.08,002952.jpg,,0.25,
118.36,002959.jpg,,0.25,
118.64,002966.jpg,,0.25,
118.84,002971.jpg,,0.25,
120.12,003003.jpg,,0.25,
120.56,003014.jpg,,0.25,
120.84,003021.jpg,,0.25,
120.96,003024.jpg,,0.25,
121.24,003031.jpg,,0.25,
121.52,003038.jpg,,0.25,
122.56,003064.jpg,,0.25,
122.60,003065.jpg,,0.25,
135.84,003396.jpg,,0.25,
136.48,003412.jpg,,0.25,
140.08,003502.jpg,,0.25,
140.12,003503.jpg,,0.25,
141.28,003532.jpg,,0.25,
149.92,003748.jpg,,0.25,
149.96,003749.jpg,,0.25,
150.24,003756.jpg,,0.25,
150.40,003760.jpg,,0.25,
151.08,003777.jpg,,0.25,
151.36,003784.jpg,,0.25,
151.64,003791.jpg,,0.25,
152.44,003811.jpg,,0.25,
152.48,003812.jpg,,0.25,
153.32,003833.jpg,,0.25,
153.44,003836.jpg,,0.25,
155.20,003880.jpg,,0.25,
160.24,004006.jpg,,0.25,
160.68,004017.jpg,,0.25,
161.16,004029.jpg,,0.25,
162.48,004062.jpg,,0.25,
163.08,004077.jpg,,0.25,
163.12,004078.jpg,,0.25,
163.76,004094.jpg,,0.25,
164.60,004115.jpg,,0.25,
