seconds,strip,kind,tolerance_s,note
2.40,000060.jpg,,0.25,
3.12,000078.jpg,,0.25,
3.36,000084.jpg,,0.25,
4.24,000106.jpg,,0.25,
4.80,000120.jpg,,0.25,
5.36,000134.jpg,,0.25,
5.84,000146.jpg,,0.25,
26.16,000654.jpg,,0.25,
26.80,000670.jpg,,0.25,
27.32,000683.jpg,,0.25,
28.08,000702.jpg,,0.25,
28.60,000715.jpg,,0.25,
29.32,000733.jpg,,0.25,
34.28,000857.jpg,,0.25,
34.80,000870.jpg,,0.25,
38.48,000962.jpg,,0.25,
39.04,000976.jpg,,0.25,
40.24,001006.jpg,,0.25,
41.36,001034.jpg,,0.25,
42.28,001057.jpg,,0.25,
45.04,001126.jpg,,0.25,
52.72,001318.jpg,,0.25,
53.12,001328.jpg,,0.25,
54.64,001366.jpg,,0.25,
55.08,001377.jpg,,0.25,
64.64,001616.jpg,,0.25,
67.80,001695.jpg,,0.25,
68.24,001706.jpg,,0.25,
68.60,001715.jpg,,0.25,
69.56,001739.jpg,,0.25,
69.92,001748.jpg,,0.25,
77.08,001927.jpg,,0.25,
77.72,001943.jpg,,0.25,
77.96,001949.jpg,,0.25,
78.32,001958.jpg,,0.25,
78.80,001970.jpg,,0.25,
79.12,001978.jpg,,0.25,
79.52,001988.jpg,,0.25,
80.28,002007.jpg,,0.25,
80.64,002016.jpg,,0.25,
81.20,002030.jpg,,0.25,
81.40,002035.jpg,,0.25,
81.88,002047.jpg,,0.25,
82.88,002072.jpg,,0.25,
83.28,002082.jpg,,0.25,
83.76,002094.jpg,,0.25,
93.24,002331.jpg,,0.25,
97.60,002440.jpg,,0.25,
100.28,002507.jpg,,0.25,
102.88,002572.jpg,,0.25,
103.56,002589.jpg,,0.25,
104.32,002608.jpg,,0.25,
105.80,002645.jpg,,0.25,
115.16,002879.jpg,,0.25,
115.56,002889.jpg,,0.25,
116.40,002910.jpg,,0.25,
116.96,002924.jpg,,0.25,
117.92,002948.jpg,,0.25,
119.08,002977.jpg,,0.25,
