seconds,strip,kind,tolerance_s,note
0.28,000007.jpg,,0.25,
0.68,000017.jpg,,0.25,
1.04,000026.jpg,,0.25,
1.96,000049.jpg,,0.25,
2.60,000065.jpg,,0.25,
3.40,000085.jpg,,0.25,
5.32,000133.jpg,,0.25,
5.68,000142.jpg,,0.25,
6.04,000151.jpg,,0.25,
6.64,000166.jpg,,0.25,
6.96,000174.jpg,,0.25,
7.12,000178.jpg,,0.25,
7.72,000193.jpg,,0.25,
8.12,000203.jpg,,0.25,
10.96,000274.jpg,,0.25,
11.20,000280.jpg,,0.25,
11.84,000296.jpg,,0.25,
12.08,000302.jpg,,0.25,
23.36,000584.jpg,,0.25,
23.84,000596.jpg,,0.25,
25.68,000642.jpg,,0.25,
25.96,000649.jpg,,0.25,
26.20,000655.jpg,,0.25,
26.64,000666.jpg,,0.25,
30.64,000766.jpg,,0.25,
31.04,000776.jpg,,0.25,
31.96,000799.jpg,,0.25,
32.76,000819.jpg,,0.25,
33.08,000827.jpg,,0.25,
33.60,000840.jpg,,0.25,
34.16,000854.jpg,,0.25,
35.24,000881.jpg,,0.25,
35.60,000890.jpg,,0.25,
36.20,000905.jpg,,0.25,
36.64,000916.jpg,,0.25,
36.88,000922.jpg,,0.25,
37.64,000941.jpg,,0.25,
38.08,000952.jpg,,0.25,
38.56,000964.jpg,,0.25,
38.92,000973.jpg,,0.25,
39.24,000981.jpg,,0.25,
39.64,000991.jpg,,0.25,
40.12,001003.jpg,,0.25,
43.36,001084.jpg,,0.25,
46.72,001168.jpg,,0.25,
47.84,001196.jpg,,0.25,
48.76,001219.jpg,,0.25,
59.44,001486.jpg,,0.25,
59.76,001494.jpg,,0.25,
60.08,001502.jpg,,0.25,
60.40,001510.jpg,,0.25,
61.12,001528.jpg,,0.25,
61.64,001541.jpg,,0.25,
62.16,001554.jpg,,0.25,
62.64,001566.jpg,,0.25,
63.76,001594.jpg,,0.25,
64.28,001607.jpg,,0.25,
71.52,001788.jpg,,0.25,
72.12,001803.jpg,,0.25,
79.44,001986.jpg,,0.25,
79.92,001998.jpg,,0.25,
80.24,002006.jpg,,0.25,
80.88,002022.jpg,,0.25,
81.24,002031.jpg,,0.25,
82.00,002050.jpg,,0.25,
86.68,002167.jpg,,0.25,
87.16,002179.jpg,,0.25,
87.56,002189.jpg,,0.25,
88.52,002213.jpg,,0.25,
89.20,002230.jpg,,0.25,
