seconds,strip,kind,tolerance_s,note
4.88,000122.jpg,,0.25,
5.48,000137.jpg,,0.25,
5.68,000142.jpg,,0.25,
6.08,000152.jpg,,0.25,
6.40,000160.jpg,,0.25,
6.64,000166.jpg,,0.25,
9.68,000242.jpg,,0.25,
10.44,000261.jpg,,0.25,
10.64,000266.jpg,,0.25,
11.08,000277.jpg,,0.25,
11.80,000295.jpg,,0.25,
12.40,000310.jpg,,0.25,
12.44,000311.jpg,,0.25,
18.92,000473.jpg,,0.25,
29.80,000745.jpg,,0.25,
30.16,000754.jpg,,0.25,
30.80,000770.jpg,,0.25,
31.72,000793.jpg,,0.25,
31.76,000794.jpg,,0.25,
32.56,000814.jpg,,0.25,
32.68,000817.jpg,,0.25,
33.08,000827.jpg,,0.25,
33.44,000836.jpg,,0.25,
33.56,000839.jpg,,0.25,
34.04,000851.jpg,,0.25,
40.88,001022.jpg,,0.25,
41.44,001036.jpg,,0.25,
42.08,001052.jpg,,0.25,
42.56,001064.jpg,,0.25,
42.60,001065.jpg,,0.25,
43.00,001075.jpg,,0.25,
43.40,001085.jpg,,0.25,
59.28,001482.jpg,,0.25,
61.24,001531.jpg,,0.25,
61.52,001538.jpg,,0.25,
61.64,001541.jpg,,0.25,
62.40,001560.jpg,,0.25,
62.52,001563.jpg,,0.25,
62.96,001574.jpg,,0.25,
63.56,001589.jpg,,0.25,
64.24,001606.jpg,,0.25,
64.60,001615.jpg,,0.25,
64.64,001616.jpg,,0.25,
64.88,001622.jpg,,0.25,
65.08,001627.jpg,,0.25,
65.32,001633.jpg,,0.25,
65.76,001644.jpg,,0.25,
66.68,001667.jpg,,0.25,
75.52,001888.jpg,,0.25,
86.48,002162.jpg,,0.25,
87.04,002176.jpg,,0.25,
88.00,002200.jpg,,0.25,
88.76,002219.jpg,,0.25,
89.08,002227.jpg,,0.25,
90.08,002252.jpg,,0.25,
90.12,002253.jpg,,0.25,
92.56,002314.jpg,,0.25,
95.36,002384.jpg,,0.25,
97.84,002446.jpg,,0.25,
98.08,002452.jpg,,0.25,
105.96,002649.jpg,,0.25,
106.68,002667.jpg,,0.25,
107.48,002687.jpg,,0.25,
