seconds,frame,proposed_by
4.88,122,trajectory_scan
5.48,137,trajectory_scan
5.68,142,pipeline:bounce
6.08,152,trajectory_scan
6.40,160,pipeline:unknown
6.64,166,trajectory_scan
9.68,242,pipeline:unknown
10.44,261,pipeline:bounce
10.64,266,trajectory_scan
11.08,277,pipeline:unknown
11.80,295,pipeline:unknown trajectory_scan
12.44,311,pipeline:unknown trajectory_scan
18.92,473,trajectory_scan
29.80,745,pipeline:bounce
30.16,754,trajectory_scan
30.80,770,pipeline:unknown
31.72,793,pipeline:bounce trajectory_scan
32.68,817,pipeline:unknown trajectory_scan
33.08,827,trajectory_scan
33.44,836,pipeline:unknown trajectory_scan
34.04,851,pipeline:contact
40.88,1022,trajectory_scan
41.44,1036,pipeline:unknown
42.08,1052,pipeline:unknown
42.56,1064,pipeline:bounce trajectory_scan
43.00,1075,pipeline:unknown trajectory_scan
43.40,1085,trajectory_scan
59.28,1482,pipeline:unknown
61.24,1531,pipeline:unknown
61.64,1541,pipeline:unknown trajectory_scan
62.40,1560,pipeline:contact trajectory_scan
62.96,1574,pipeline:unknown
63.56,1589,pipeline:unknown
64.24,1606,pipeline:unknown
64.60,1615,pipeline:unknown trajectory_scan
64.88,1622,pipeline:unknown
65.08,1627,trajectory_scan
65.32,1633,pipeline:unknown trajectory_scan
65.76,1644,pipeline:unknown
66.68,1667,trajectory_scan
75.52,1888,trajectory_scan
86.48,2162,pipeline:unknown
87.04,2176,trajectory_scan
88.00,2200,trajectory_scan
88.76,2219,trajectory_scan
89.08,2227,trajectory_scan
90.08,2252,pipeline:bounce trajectory_scan
92.56,2314,trajectory_scan
95.36,2384,pipeline:unknown
97.84,2446,trajectory_scan
98.08,2452,trajectory_scan
105.96,2649,pipeline:unknown
106.68,2667,pipeline:unknown
107.48,2687,pipeline:bounce
