seconds,kind,tolerance_s,note
1.68,,0.25,
1.76,,0.25,
3.68,,0.25,
4.20,,0.25,
4.64,,0.25,
5.00,,0.25,
5.04,,0.25,
5.72,,0.25,
5.96,,0.25,
6.20,,0.25,
6.72,,0.25,
7.48,,0.25,
7.68,,0.25,
8.04,,0.25,
15.68,,0.25,
22.96,,0.25,
27.80,,0.25,
28.32,,0.25,
29.16,,0.25,
30.12,,0.25,
31.68,,0.25,
38.84,,0.25,
39.36,,0.25,
39.76,,0.25,
39.84,,0.25,
40.36,,0.25,
40.56,,0.25,
40.88,,0.25,
40.92,,0.25,
41.52,,0.25,
64.28,,0.25,
64.68,,0.25,
65.04,,0.25,
65.60,,0.25,
66.12,,0.25,
66.56,,0.25,
67.44,,0.25,
67.72,,0.25,
68.16,,0.25,
69.00,,0.25,
69.52,,0.25,
69.56,,0.25,
69.80,,0.25,
70.00,,0.25,
70.60,,0.25,
78.48,,0.25,
78.60,,0.25,
85.52,,0.25,
86.88,,0.25,
90.00,,0.25,
90.48,,0.25,
90.96,,0.25,
91.00,,0.25,
91.96,,0.25,
92.48,,0.25,
92.92,,0.25,
93.20,,0.25,
94.84,,0.25,
103.44,,0.25,
104.04,,0.25,
105.12,,0.25,
107.56,,0.25,
107.64,,0.25,
108.40,,0.25,
117.84,,0.25,
118.32,,0.25,
118.64,,0.25,
119.12,,0.25,
119.84,,0.25,
120.52,,0.25,
120.96,,0.25,
121.24,,0.25,
121.32,,0.25,
121.68,,0.25,
121.92,,0.25,
122.24,,0.25,
122.92,,0.25,
123.52,,0.25,
124.16,,0.25,
124.52,,0.25,
125.72,,0.25,
126.80,,0.25,
135.12,,0.25,
135.60,,0.25,
136.32,,0.25,
149.60,,0.25,
150.48,,0.25,
150.52,,0.25,
151.12,,0.25,
151.76,,0.25,
152.20,,0.25,
152.48,,0.25,
152.88,,0.25,
153.40,,0.25,
153.44,,0.25,
154.00,,0.25,
154.36,,0.25,
155.16,,0.25,
155.52,,0.25,
156.52,,0.25,
156.64,,0.25,
