seconds,strip,kind,tolerance_s,note
1.36,000034.jpg,none,0.25,
1.64,000041.jpg,none,0.25,
1.84,000046.jpg,none,0.25,
2.08,000052.jpg,none,0.25,
2.28,000057.jpg,none,0.25,
2.56,000064.jpg,none,0.25,
2.6,000065.jpg,none,0.25,
3.64,000091.jpg,none,0.25,
3.68,000092.jpg,none,0.25,
4.08,000102.jpg,none,0.25,
4.28,000107.jpg,none,0.25,
4.52,000113.jpg,none,0.25,
4.84,000121.jpg,none,0.25,
5.16,000129.jpg,none,0.25,
5.36,000134.jpg,none,0.25,
5.56,000139.jpg,none,0.25,
6.2,000155.jpg,none,0.25,
6.24,000156.jpg,none,0.25,
6.76,000169.jpg,none,0.25,
6.8,000170.jpg,none,0.25,
10.36,000259.jpg,none,0.25,
11.04,000276.jpg,contact,0.25,
11.48,000287.jpg,none,0.25,
11.68,000292.jpg,none,0.25,
12.6,000315.jpg,bounce,0.25,
13.08,000327.jpg,none,0.25,
13.56,000339.jpg,none,0.25,
14.8,000370.jpg,none,0.25,
15.28,000382.jpg,none,0.25,
15.56,000389.jpg,none,0.25,
15.76,000394.jpg,none,0.25,
16.16,000404.jpg,none,0.25,
16.2,000405.jpg,none,0.25,
16.56,000414.jpg,none,0.25,
16.8,000420.jpg,none,0.25,
17.48,000437.jpg,none,0.25,
17.52,000438.jpg,none,0.25,
18.04,000451.jpg,none,0.25,
18.64,000466.jpg,none,0.25,
18.92,000473.jpg,none,0.25,
19.36,000484.jpg,none,0.25,
19.92,000498.jpg,none,0.25,
21.4,000535.jpg,none,0.25,
22.16,000554.jpg,none,0.25,
22.28,000557.jpg,none,0.25,
23.2,000580.jpg,contact,0.25,
23.24,000581.jpg,none,0.25,
23.72,000593.jpg,none,0.25,
23.76,000594.jpg,bounce,0.25,
25.32,000633.jpg,none,0.25,
25.56,000639.jpg,none,0.25,
25.76,000644.jpg,contact,0.25,
26.24,000656.jpg,none ,0.25,
26.68,000667.jpg,bounce,0.25,
27.68,000692.jpg,bounce,0.25,
41.72,001043.jpg,none,0.25,
46.6,001165.jpg,none,0.25,
47.44,001186.jpg,none,0.25,
47.6,001190.jpg,none,0.25,
47.96,001199.jpg,none,0.25,
48.48,001212.jpg,none,0.25,
52.44,001311.jpg,contact,0.25,
52.68,001317.jpg,none,0.25,
52.72,001318.jpg,bounce,0.25,
53.2,001330.jpg,contact,0.25,
54.6,001365.jpg,none,0.25,
55.12,001378.jpg,none,0.25,
55.16,001379.jpg,none,0.25,
56.08,001402.jpg,none,0.25,
56.76,001419.jpg,none,0.25,
56.92,001423.jpg,none,0.25,
57.04,001426.jpg,none,0.25,
57.36,001434.jpg,none,0.25,
57.92,001448.jpg,none,0.25,
58.28,001457.jpg,none,0.25,
58.8,001470.jpg,none,0.25,
59.36,001484.jpg,none,0.25,
60.08,001502.jpg,none,0.25,
60.6,001515.jpg,none,0.25,
60.68,001517.jpg,none,0.25,
63.28,001582.jpg,none,0.25,
63.64,001591.jpg,none,0.25,
63.92,001598.jpg,none,0.25,
63.96,001599.jpg,contact,0.25,
64.36,001609.jpg,none,0.25,
64.4,001610.jpg,bounce,0.25,
64.84,001621.jpg,contact,0,
65.72,001643.jpg,none,0.25,
66.2,001655.jpg,contact,0.25,
66.92,001673.jpg,none,0.25,
67,001675.jpg,bounce,0.25,
68.4,001710.jpg,bounce,0.25,
74.16,001854.jpg,none,0.25,
90.84,002271.jpg,none,0.25,
91.12,002278.jpg,none,0.25,
91.4,002285.jpg,none,0.25,
91.72,002293.jpg,none,0.25,
91.92,002298.jpg,none,0.25,
95.24,002381.jpg,none,0.25,
95.96,002399.jpg,contact,0.25,
96.32,002408.jpg,bounce,0.25,
97.08,002427.jpg,none,0.25,
98.56,002464.jpg,none,0.25,
98.72,002468.jpg,none,0.25,
99.16,002479.jpg,none,0.25,
99.28,002482.jpg,none,0.25,
99.72,002493.jpg,none,0.25,
99.8,002495.jpg,none,0.25,
100.2,002505.jpg,none,0.25,
100.92,002523.jpg,none,0.25,
101.24,002531.jpg,none,0.25,
101.44,002536.jpg,none,0.25,
101.76,002544.jpg,none,0.25,
102.04,002551.jpg,none,0.25,
102.32,002558.jpg,none,0.25,
102.56,002564.jpg,none,0.25,
103.08,002577.jpg,none,0.25,
103.4,002585.jpg,none,0.25,
103.64,002591.jpg,none,0.25,
106.44,002661.jpg,none,0.25,
107.08,002677.jpg,contact,0.25,
107.56,002689.jpg,bounce,0.25,
108.2,002705.jpg,none,0.25,
108.4,002710.jpg,none,0.25,
108.56,002714.jpg,none,0.25,
109.16,002729.jpg,none,0.25,
110,002750.jpg,none,0.25,
116.88,002922.jpg,none,0.25,
117.32,002933.jpg,none,0.25,
117.52,002938.jpg,none,0.25,
118.92,002973.jpg,none,0.25,
119.2,002980.jpg,none,0.25,
122.08,003052.jpg,none,0.25,
123.28,003082.jpg,none,0.25,
124.2,003105.jpg,none,0.25,
140.96,003524.jpg,contact,0.25,
141.2,003530.jpg,bounce,0.25,
141.64,003541.jpg,contact,0.25,
142.6,003565.jpg,none,0.25,
144.84,003621.jpg,none,0.25,
152.8,003820.jpg,contact,0.25,
153.08,003827.jpg,none,0.25,
153.28,003832.jpg,none,0.25,
153.44,003836.jpg,none,0.25,
154,003850.jpg,contact,0.25,
154.88,003872.jpg,none,0.25,
155.44,003886.jpg,contact,0.25,
155.92,003898.jpg,none,0.25,
156.2,003905.jpg,bounce,0.25,
156.24,003906.jpg,none,0.25,
156.56,003914.jpg,contact,0.25,
157.48,003937.jpg,bounce,0.25,
157.64,003941.jpg,none,0.25,
157.8,003945.jpg,contact,0.25,
158.52,003963.jpg,none,0.25,
158.6,003965.jpg,bounce,0.25,
159,003975.jpg,contact,0.25,
159.84,003996.jpg,bounce,0.25,
160.28,004007.jpg,contact,0.25,
160.72,004018.jpg,none,0.25,
