seconds,frame,proposed_by
1.36,34,trajectory_scan
1.64,41,pipeline:unknown
1.84,46,trajectory_scan
2.08,52,pipeline:unknown
2.28,57,trajectory_scan
2.56,64,pipeline:unknown
2.60,65,trajectory_scan
3.64,91,pipeline:unknown
3.68,92,trajectory_scan
4.08,102,pipeline:unknown
4.28,107,trajectory_scan
4.52,113,pipeline:unknown
4.84,121,trajectory_scan
5.16,129,pipeline:unknown
5.36,134,pipeline:unknown trajectory_scan
5.56,139,pipeline:unknown
6.20,155,trajectory_scan
6.24,156,pipeline:unknown
6.76,169,trajectory_scan
6.80,170,pipeline:unknown
10.36,259,pipeline:unknown
11.04,276,pipeline:bounce trajectory_scan
11.48,287,trajectory_scan
11.68,292,pipeline:unknown
12.60,315,pipeline:unknown
13.08,327,pipeline:unknown trajectory_scan
13.56,339,pipeline:unknown trajectory_scan
14.80,370,pipeline:unknown
15.28,382,trajectory_scan
15.56,389,pipeline:unknown
15.76,394,pipeline:unknown
16.16,404,pipeline:unknown
16.20,405,trajectory_scan
16.56,414,trajectory_scan
16.80,420,pipeline:unknown
17.48,437,trajectory_scan
17.52,438,pipeline:bounce
18.04,451,pipeline:unknown trajectory_scan
18.64,466,pipeline:unknown trajectory_scan
18.92,473,pipeline:unknown
19.36,484,pipeline:contact trajectory_scan
19.92,498,trajectory_scan
21.40,535,pipeline:unknown
22.16,554,pipeline:contact
22.28,557,trajectory_scan
23.20,580,pipeline:unknown
23.24,581,trajectory_scan
23.72,593,pipeline:bounce
23.76,594,trajectory_scan
25.32,633,trajectory_scan
25.56,639,pipeline:bounce
25.76,644,trajectory_scan
26.24,656,pipeline:unknown
26.68,667,pipeline:unknown trajectory_scan
27.68,692,pipeline:unknown
41.72,1043,trajectory_scan
46.60,1165,trajectory_scan
47.44,1186,trajectory_scan
47.60,1190,pipeline:bounce
47.96,1199,trajectory_scan
48.48,1212,trajectory_scan
52.44,1311,trajectory_scan
52.68,1317,pipeline:unknown
52.72,1318,trajectory_scan
53.20,1330,pipeline:unknown
54.60,1365,pipeline:unknown trajectory_scan
55.12,1378,pipeline:unknown
55.16,1379,trajectory_scan
56.08,1402,pipeline:unknown trajectory_scan
56.76,1419,trajectory_scan
56.92,1423,pipeline:unknown
57.04,1426,trajectory_scan
