seconds,strip,kind,tolerance_s,note
4.28,000107.jpg,,0.25,
4.80,000120.jpg,,0.25,
5.28,000132.jpg,,0.25,
6.16,000154.jpg,,0.25,
6.52,000163.jpg,,0.25,
6.96,000174.jpg,,0.25,
7.60,000190.jpg,,0.25,
8.08,000202.jpg,,0.25,
8.40,000210.jpg,,0.25,
8.76,000219.jpg,,0.25,
9.20,000230.jpg,,0.25,
9.64,000241.jpg,,0.25,
10.40,000260.jpg,,0.25,
26.48,000662.jpg,,0.25,
28.88,000722.jpg,,0.25,
29.24,000731.jpg,,0.25,
29.52,000738.jpg,,0.25,
30.64,000766.jpg,,0.25,
31.20,000780.jpg,,0.25,
31.92,000798.jpg,,0.25,
32.08,000802.jpg,,0.25,
36.16,000904.jpg,,0.25,
36.80,000920.jpg,,0.25,
37.28,000932.jpg,,0.25,
37.84,000946.jpg,,0.25,
38.24,000956.jpg,,0.25,
38.88,000972.jpg,,0.25,
39.24,000981.jpg,,0.25,
39.72,000993.jpg,,0.25,
40.16,001004.jpg,,0.25,
41.04,001026.jpg,,0.25,
41.40,001035.jpg,,0.25,
41.84,001046.jpg,,0.25,
42.16,001054.jpg,,0.25,
42.72,001068.jpg,,0.25,
43.72,001093.jpg,,0.25,
59.28,001482.jpg,,0.25,
59.60,001490.jpg,,0.25,
59.96,001499.jpg,,0.25,
63.12,001578.jpg,,0.25,
63.28,001582.jpg,,0.25,
63.72,001593.jpg,,0.25,
64.24,001606.jpg,,0.25,
64.48,001612.jpg,,0.25,
65.64,001641.jpg,,0.25,
66.16,001654.jpg,,0.25,
66.56,001664.jpg,,0.25,
66.76,001669.jpg,,0.25,
67.76,001694.jpg,,0.25,
72.64,001816.jpg,,0.25,
73.16,001829.jpg,,0.25,
73.84,001846.jpg,,0.25,
74.08,001852.jpg,,0.25,
74.64,001866.jpg,,0.25,
75.20,001880.jpg,,0.25,
75.92,001898.jpg,,0.25,
76.08,001902.jpg,,0.25,
83.80,002095.jpg,,0.25,
84.16,002104.jpg,,0.25,
84.60,002115.jpg,,0.25,
84.96,002124.jpg,,0.25,
85.32,002133.jpg,,0.25,
85.72,002143.jpg,,0.25,
86.36,002159.jpg,,0.25,
87.12,002178.jpg,,0.25,
87.84,002196.jpg,,0.25,
88.52,002213.jpg,,0.25,
89.40,002235.jpg,,0.25,
89.68,002242.jpg,,0.25,
92.64,002316.jpg,,0.25,
93.48,002337.jpg,,0.25,
93.96,002349.jpg,,0.25,
122.64,003066.jpg,,0.25,
123.24,003081.jpg,,0.25,
123.88,003097.jpg,,0.25,
124.40,003110.jpg,,0.25,
125.92,003148.jpg,,0.25,
126.08,003152.jpg,,0.25,
126.32,003158.jpg,,0.25,
126.64,003166.jpg,,0.25,
127.80,003195.jpg,,0.25,
128.32,003208.jpg,,0.25,
128.48,003212.jpg,,0.25,
128.80,003220.jpg,,0.25,
132.84,003321.jpg,,0.25,
133.44,003336.jpg,,0.25,
134.00,003350.jpg,,0.25,
134.44,003361.jpg,,0.25,
134.84,003371.jpg,,0.25,
135.32,003383.jpg,,0.25,
136.08,003402.jpg,,0.25,
136.44,003411.jpg,,0.25,
137.68,003442.jpg,,0.25,
162.36,004059.jpg,,0.25,
163.00,004075.jpg,,0.25,
163.48,004087.jpg,,0.25,
164.28,004107.jpg,,0.25,
167.84,004196.jpg,,0.25,
168.96,004224.jpg,,0.25,
169.84,004246.jpg,,0.25,
170.24,004256.jpg,,0.25,
170.72,004268.jpg,,0.25,
171.12,004278.jpg,,0.25,
172.44,004311.jpg,,0.25,
172.68,004317.jpg,,0.25,
172.88,004322.jpg,,0.25,
173.12,004328.jpg,,0.25,
173.88,004347.jpg,,0.25,
174.64,004366.jpg,,0.25,
174.88,004372.jpg,,0.25,
175.20,004380.jpg,,0.25,
176.24,004406.jpg,,0.25,
