seconds,frame,proposed_by
4.28,107,trajectory_scan
4.80,120,pipeline:unknown
5.28,132,pipeline:contact trajectory_scan
6.16,154,pipeline:unknown
6.52,163,pipeline:unknown
6.96,174,pipeline:bounce trajectory_scan
7.60,190,pipeline:contact
8.04,201,trajectory_scan
8.08,202,pipeline:contact
8.40,210,pipeline:unknown
8.76,219,pipeline:unknown
9.20,230,pipeline:bounce
9.64,241,pipeline:unknown
10.40,260,pipeline:bounce
10.48,262,trajectory_scan
26.48,662,trajectory_scan
28.88,722,trajectory_scan
29.24,731,pipeline:bounce
29.52,738,trajectory_scan
30.64,766,trajectory_scan
31.20,780,pipeline:unknown
31.92,798,pipeline:unknown
32.08,802,trajectory_scan
36.16,904,pipeline:unknown
36.80,920,pipeline:unknown
37.28,932,pipeline:contact trajectory_scan
37.84,946,pipeline:unknown
38.24,956,pipeline:bounce trajectory_scan
38.88,972,pipeline:unknown
39.24,981,pipeline:bounce
39.72,993,pipeline:bounce trajectory_scan
40.16,1004,pipeline:unknown
41.04,1026,pipeline:bounce trajectory_scan
41.40,1035,pipeline:contact
41.84,1046,pipeline:unknown
42.16,1054,pipeline:bounce
42.72,1068,pipeline:bounce
43.72,1093,pipeline:unknown trajectory_scan
59.28,1482,trajectory_scan
59.60,1490,pipeline:unknown
59.96,1499,trajectory_scan
63.12,1578,pipeline:unknown
63.28,1582,trajectory_scan
63.72,1593,pipeline:bounce
63.76,1594,trajectory_scan
64.24,1606,trajectory_scan
64.48,1612,trajectory_scan
65.64,1641,trajectory_scan
66.16,1654,trajectory_scan
66.56,1664,pipeline:bounce
66.76,1669,trajectory_scan
67.76,1694,pipeline:unknown
72.64,1816,pipeline:contact
72.68,1817,trajectory_scan
73.16,1829,pipeline:unknown
73.84,1846,pipeline:bounce
74.08,1852,trajectory_scan
74.64,1866,pipeline:unknown
74.68,1867,trajectory_scan
75.20,1880,pipeline:contact
75.24,1881,trajectory_scan
75.92,1898,trajectory_scan
76.08,1902,pipeline:bounce
83.80,2095,pipeline:unknown
84.16,2104,pipeline:contact
84.60,2115,pipeline:bounce
84.96,2124,pipeline:contact
85.00,2125,trajectory_scan
85.32,2133,pipeline:unknown
85.72,2143,pipeline:bounce
86.36,2159,pipeline:contact
87.12,2178,pipeline:contact
87.20,2180,trajectory_scan
87.84,2196,pipeline:unknown
88.52,2213,pipeline:contact
89.40,2235,pipeline:bounce
89.68,2242,pipeline:bounce
92.64,2316,trajectory_scan
93.48,2337,pipeline:unknown
93.96,2349,trajectory_scan
122.64,3066,pipeline:unknown
123.24,3081,pipeline:bounce
123.80,3095,trajectory_scan
123.88,3097,pipeline:bounce
124.40,3110,pipeline:unknown
125.92,3148,trajectory_scan
126.08,3152,pipeline:unknown
126.32,3158,trajectory_scan
126.64,3166,pipeline:bounce
127.80,3195,trajectory_scan
128.32,3208,trajectory_scan
128.48,3212,pipeline:unknown
128.80,3220,trajectory_scan
132.84,3321,trajectory_scan
133.44,3336,pipeline:unknown
134.00,3350,pipeline:contact
134.04,3351,trajectory_scan
134.44,3361,pipeline:unknown
134.84,3371,pipeline:bounce trajectory_scan
135.32,3383,pipeline:contact
136.08,3402,pipeline:bounce
136.44,3411,pipeline:bounce
137.68,3442,trajectory_scan
162.36,4059,trajectory_scan
162.88,4072,trajectory_scan
163.00,4075,pipeline:unknown
163.48,4087,trajectory_scan
164.28,4107,trajectory_scan
167.84,4196,trajectory_scan
168.96,4224,pipeline:unknown
169.84,4246,pipeline:unknown
170.24,4256,trajectory_scan
170.72,4268,trajectory_scan
171.12,4278,trajectory_scan
172.44,4311,pipeline:unknown
172.68,4317,trajectory_scan
172.88,4322,pipeline:unknown
173.12,4328,pipeline:bounce trajectory_scan
173.88,4347,pipeline:unknown
174.64,4366,trajectory_scan
174.88,4372,trajectory_scan
175.20,4380,pipeline:unknown
176.24,4406,trajectory_scan
