seconds,kind,tolerance_s,note
0.34,none,0.25,"random thing in the net"
0.50,bounce,0.25,""
1.97,bounce,0.25,""
2.24,contact,0.25,""
2.41,none,0.25,""
3.20,bounce,0.25,""
4.50,bounce,0.50,"time approximate - given only as 'should be a bounce at around 4.5', never as a marker to correct"
6.95,none,0.25,""
7.11,bounce,0.16,"'there is a bounce very shortly after' 6.95; the window is the gap between 6.95 and the 7.28 'neither', which is all the labelling pins down"
7.28,none,0.25,""
7.87,none,0.25,""
9.09,none,0.25,"the ball leaves the frame and 9.09 is where it re-enters"
9.67,bounce,0.30,"real bounce, 'off by a bit' in the render it was labelled from, so the time is approximate"
11.39,contact,0.25,""
12.33,bounce,0.25,"confirmed in an earlier render ('they are both bounces', with 9.67)"
13.89,contact,0.25,""
15.00,bounce,0.50,"time approximate - given only as 'should be bounce at 15 something'"
